;;;SALDO KSI¨GOWE 31.12.2019;;;;;;;;;;;;;;;;;;;;"saldo windykacyjne 
na 31.12.2019";;;saldo wniosku umorzeniowego na 31.12.2019;;;;;;;;;;;
;;;;;PRZEDAWNIONE;;;;;;;;;NIEPRZEDAWNIONE;;;;;;;;;;;;;;;;;;;;;;;
;LP.;Nr sprawy z WIENA;Razem saldo ksi©gowe (nalezno˜† gˆ¢wna + koszty + odsetki );Nale¾no˜† gˆ¢wna (suma przedawniona + nieprzedawniona);kwota nale¾no˜ci gˆ¢wnej;;;;Data przedawnienia;"Koszty s¥dowe - zaksi©gowane
";Data przedawnienia;"Odsetki zaksi©gowane
";Data przedawnienia;kwota nale¾no˜ci gˆ¢wnej;;;;"termin 
pˆatno˜ci";"Koszty s¥dowe - zaksi©gowane
";termin pˆatno˜ci;"Odsetki zaksi©gowane
";termin pˆatno˜ci;Razem;"suma koszt¢w egzekucyjnych 
(kza+ ke)";odsetki *;saldo ksi©gowe + strona windykacyjna;;;;;;;;;;;
Lp.;;;;;Nale¾no˜† gˆ¢wna og¢ˆem;w tym odsetki skapitaliz. (noty odsetkowe);w tym odsetki naliczone;w tym WDZ ;;;;;;Nale¾no˜† gˆ¢wna og¢ˆem;w tym odsetki skapitaliz. (noty odsetkowe);w tym odsetki naliczone;w tym WDZ ;;;;;;;;;;nr konta;;;;;;;;;;
;wiersz ODYS;"Dokument (nr faktury, 
nr noty odsetkowej, 
nr spraw *";;"Nale¾no˜† 
gˆowna";;;;;Data przedawnienia;;;;;;;;;;;;;;;Inne koszty;Odsetki;;;;;;;;;;;;
;1;2;"3
 (4+10+12+19+21)";"4
 (5+14)";5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;"23
 (24+25)";24;25;"26
 (3+23)";27;;;;;;;;;;
3749;1;C-4542/2018;715,94;715,94;673,94;0,00;;50,40;2016-02-15;;;;;42,00;0,00;;42,00;2018-04-24;;;;;141,53;0,00;141,53;857,47;2440010;;;;;;;;;;
3748;2;C-10478/2017;707,80;707,80;707,80;15,10;;50,40;2016-06-14;;;;;0;0;;0;;;;;;149,69;0,00;149,69;857,49;2440010;;;;;;;;;;
3746;3;C-303/2018;717,78;717,78;717,78;35,32;;42,00;2016-12-15;;;;;0;0;;0;;;;;;140,12;0,00;140,12;857,90;2440010;;;;;;;;;;
3743;4;C-3405/2017;726,99;726,99;726,99;0;;34,39;2014-07-22;;;;;0;0;;0;;;;;;131,46;0,00;131,46;858,45;2440010;;;;;;;;;;
3741;5;C-4433/2018;722,83;722,83;667,86;33,04;;50,40;2016-04-25;;;;;54,97;12,53;;16,80;2018-04-03;;;;;135,83;0,00;135,83;858,66;2440010;;;;;;;;;;
3738;6;C-8570/2018;736,13;736,13;649,21;21,28;;92,40;2016-10-03;;;;;86,92;0;;8,40;2018-05-24;;;;;122,95;0,00;122,95;859,08;2440010;;;;;;;;;;
3010;7;C-2754/2016;790,59;522,85;522,85;0;;0;2015-11-02;;;;;0;0;;0;;210,30;2017-07-24;57,44;2017-08-09;236,54;148,40;88,14;1 027,13;2442170;;;;;;;;;;
2921;8;C-1952/2016;957,79;555,71;555,71;0;;0;2015-02-19;;;;;0;0;;0;;300,30;2017-08-10;101,78;2017-08-22;92,29;0,00;92,29;1 050,08;2442170;;;;;;;;;;
2252;9;C-1608/2016;1 011,80;616,30;616,30;0,10;;34,39;2015-03-11;;;;;0;0;;0;;300,30;2017-04-19;95,20;2017-05-08;265,65;153,10;112,55;1 277,45;2442170;;;;;;;;;;
